| ticker  | month  |        avg_vol        |
| AAPL    | 1      | 0.014447639422943363  |
| AAPL    | 2      | 0.016618285211994283  |
| AAPL    | 3      | 0.018192967869108144  |
| AAPL    | 4      | 0.020032309545815766  |
| AAPL    | 5      | 0.018067090499816935  |
| AAPL    | 6      | 0.013596890957618835  |
| AAPL    | 7      | 0.012458054349793942  |
| AAPL    | 8      | 0.015280073869293377  |
| AAPL    | 9      | 0.015275825602536198  |
| AAPL    | 10     | 0.014506107438899294  |
| AAPL    | 11     | 0.015527459880835738  |
| AAPL    | 12     | 0.013551198400435052  |
| ABBV    | 1      | 0.01296477349070609   |
| ABBV    | 2      | 0.016455149783191316  |
| ABBV    | 3      | 0.01507792445776241   |
| ABBV    | 4      | 0.018082548158323487  |
| ABBV    | 5      | 0.01585585279043782   |
| ABBV    | 6      | 0.013236212846132129  |
| ABBV    | 7      | 0.014893866194221053  |
| ABBV    | 8      | 0.011846084080030454  |
| ABBV    | 9      | 0.01244954234141821   |
| ABBV    | 10     | 0.013679214609189676  |
| ABBV    | 11     | 0.01869090510761507   |
| ABBV    | 12     | 0.013318815785496686  |
| ABT     | 1      | 0.0119866421068087    |
| ABT     | 2      | 0.014619991058049564  |
| ABT     | 3      | 0.01595383904477986   |
| ABT     | 4      | 0.017018438071607835  |
| ABT     | 5      | 0.014062600801829203  |
| ABT     | 6      | 0.013675137219763983  |
| ABT     | 7      | 0.012887440612263434  |
| ABT     | 8      | 0.011952918231017726  |
| ABT     | 9      | 0.011565718773544596  |
| ABT     | 10     | 0.01367855090363214   |
| ABT     | 11     | 0.013769330614835377  |
| ABT     | 12     | 0.011572284426053773  |
| ADBE    | 1      | 0.017815065147731974  |
| ADBE    | 2      | 0.017328300476700573  |
| ADBE    | 3      | 0.025622523168986566  |
| ADBE    | 4      | 0.023754277500258485  |
| ADBE    | 5      | 0.017664342437047714  |
| ADBE    | 6      | 0.01963815128284906   |
| ADBE    | 7      | 0.016707843009308995  |
| ADBE    | 8      | 0.015282278670987623  |
| ADBE    | 9      | 0.018577016247298146  |
| ADBE    | 10     | 0.01986489936441628   |
| ADBE    | 11     | 0.020619608911092092  |
| ADBE    | 12     | 0.021586067275295506  |
| AMAT    | 1      | 0.023495092324731178  |
| AMAT    | 2      | 0.02862784731790785   |
| AMAT    | 3      | 0.03029016772864233   |
| AMAT    | 4      | 0.03075836574269534   |
| AMAT    | 5      | 0.02628293225385751   |
| AMAT    | 6      | 0.0231031512285614    |
| AMAT    | 7      | 0.021090000017644148  |
| AMAT    | 8      | 0.023858455559895197  |
| AMAT    | 9      | 0.022053927002325013  |
| AMAT    | 10     | 0.021902019381407248  |
| AMAT    | 11     | 0.024134998558429405  |
| AMAT    | 12     | 0.024812907014508893  |
| AMD     | 1      | 0.0301476486779389    |
| AMD     | 2      | 0.038434016427011254  |
| AMD     | 3      | 0.03533426543252217   |
| AMD     | 4      | 0.035228864598106195  |
| AMD     | 5      | 0.038623263985753484  |
| AMD     | 6      | 0.03212831310331152   |
| AMD     | 7      | 0.030439761214406807  |
| AMD     | 8      | 0.03504918732927429   |
| AMD     | 9      | 0.0292814317733743    |
| AMD     | 10     | 0.03140764036252828   |
| AMD     | 11     | 0.036538912561672666  |
| AMD     | 12     | 0.030904484116713905  |
| AMGN    | 1      | 0.012100434335601809  |
| AMGN    | 2      | 0.01723033304995892   |
| AMGN    | 3      | 0.016723422367154087  |
| AMGN    | 4      | 0.015967250757263345  |
| AMGN    | 5      | 0.01611960292816599   |
| AMGN    | 6      | 0.01208735602350692   |
| AMGN    | 7      | 0.01236202175372905   |
| AMGN    | 8      | 0.013870451979009941  |
| AMGN    | 9      | 0.012918418432544248  |
| AMGN    | 10     | 0.014072721268162166  |
| AMGN    | 11     | 0.016364058309861602  |
| AMGN    | 12     | 0.012742635505672586  |
| AMT     | 1      | 0.013585035474985643  |
| AMT     | 2      | 0.01441529264707762   |
| AMT     | 3      | 0.018103217269054752  |
| AMT     | 4      | 0.018637102062673064  |
| AMT     | 5      | 0.015150776953436251  |
| AMT     | 6      | 0.013888231115845437  |
| AMT     | 7      | 0.012692353050629093  |
| AMT     | 8      | 0.012562405441632915  |
| AMT     | 9      | 0.013305872826911305  |
| AMT     | 10     | 0.013757183018802781  |
| AMT     | 11     | 0.017758881360884816  |
| AMT     | 12     | 0.014109753276875164  |
| AMZN    | 1      | 0.01661189127325731   |
| AMZN    | 2      | 0.02216549890024363   |
| AMZN    | 3      | 0.01878396946693053   |
| AMZN    | 4      | 0.020539904914140206  |
| ticker  | month  |        avg_vol        |
| AMZN    | 5      | 0.02054660600652746   |
| AMZN    | 6      | 0.015451209857481017  |
| AMZN    | 7      | 0.016171884387159455  |
| AMZN    | 8      | 0.019054164948764312  |
| AMZN    | 9      | 0.01588468495882435   |
| AMZN    | 10     | 0.017493689805166482  |
| AMZN    | 11     | 0.024956791678583962  |
| AMZN    | 12     | 0.01690283740754337   |
| AVGO    | 1      | 0.022267797218326914  |
| AVGO    | 2      | 0.022233814819535666  |
| AVGO    | 3      | 0.027314627286697427  |
| AVGO    | 4      | 0.02711738201467233   |
| AVGO    | 5      | 0.021305452918606138  |
| AVGO    | 6      | 0.02259194524408691   |
| AVGO    | 7      | 0.02059705168906052   |
| AVGO    | 8      | 0.018949755666494712  |
| AVGO    | 9      | 0.021921355404633407  |
| AVGO    | 10     | 0.018237253499904942  |
| AVGO    | 11     | 0.02014962124215968   |
| AVGO    | 12     | 0.02378883278728031   |
| AXP     | 1      | 0.014244273147047392  |
| AXP     | 2      | 0.01675327793470402   |
| AXP     | 3      | 0.022268102995488797  |
| AXP     | 4      | 0.023386785145654065  |
| AXP     | 5      | 0.018643209304132092  |
| AXP     | 6      | 0.016654695098056668  |
| AXP     | 7      | 0.014359291079889218  |
| AXP     | 8      | 0.013386512906510528  |
| AXP     | 9      | 0.0128762301373425    |
| AXP     | 10     | 0.015406171130126541  |
| AXP     | 11     | 0.018409790628565438  |
| AXP     | 12     | 0.015482179957106679  |
| BA      | 1      | 0.018314812312978924  |
| BA      | 2      | 0.019496763324679128  |
| BA      | 3      | 0.027641475473174287  |
| BA      | 4      | 0.030984959978384196  |
